"","x"
"1","湖北省"
"2","荆门市"
"3","掇刀区"
"4","人民"
"5","法院刑事判决书"
"6","2016"
"7","鄂"
"8","0804"
"9","刑初"
"10","138"
"11","号"
"12","公诉机关"
"13","荆门市"
"14","掇刀区"
"15","人民检察院"
"16","被告人"
"17","孙志强"
"18","男"
"19","1984"
"20","年"
"21","月"
"22","日"
"23","出生"
"24","河南省"
"25","开封市"
"26","尉氏县"
"27","辩护人"
"28","王飞"
"29","河南"
"30","循规"
"31","律师事务所"
"32","律师"
"33","荆门市"
"34","掇刀区"
"35","人民检察院"
"36","以掇"
"37","检捕诉"
"38","刑诉"
"39","2016"
"40","130"
"41","号"
"42","起诉书"
"43","指控"
"44","被告人"
"45","孙志强"
"46","犯"
"47","虚开"
"48","增值税"
"49","专用"
"50","发票"
"51","罪"
"52","2016"
"53","年"
"54","11"
"55","月"
"56","日向"
"57","本院"
"58","提起公诉"
"59","本院"
"60","受理"
"61","依法"
"62","组成"
"63","合议庭"
"64","适用"
"65","普通程序"
"66","公开"
"67","开庭"
"68","进行"
"69","审理"
"70","荆门市"
"71","掇刀区"
"72","人民检察院"
"73","指派"
"74","检察员"
"75","孔磊"
"76","代理检察员"
"77","朱玲"
"78","出庭"
"79","支持公诉"
"80","被告人"
"81","孙志强"
"82","辩护人"
"83","王飞"
"84","到庭"
"85","参加"
"86","诉讼"
"87","合议庭"
"88","评议"
"89","本案"
"90","现已"
"91","审理"
"92","终结"
"93","荆门市"
"94","掇刀区"
"95","人民检察院"
"96","指控"
"97","2013"
"98","年"
"99","被告人"
"100","孙志强"
"101","湖北省"
"102","荆门市"
"103","荆门"
"104","精诚"
"105","会计"
"106","服务"
"107","有限公司"
"108","注册"
"109","成立"
"110","荆门"
"111","弘润祥"
"112","纺织品"
"113","有限公司"
"114","同年"
"115","月"
"116","日"
"117","公司"
"118","荆门市国税局"
"119","认定"
"120","增值税"
"121","纳税人"
"122","同年"
"123","月"
"124","10"
"125","月"
"126","弘润祥"
"127","公司"
"128","没有"
"129","真实"
"130","货物"
"131","交易"
"132","情况下"
"133","河北"
"134","兴弘嘉"
"135","纺织"
"136","服装"
"137","公司"
"138","虚"
"139","开销"
"140","项"
"141","增值税"
"142","专用"
"143","发票"
"144","73"
"145","份"
"146","税额"
"147","121.9565"
"148","万元"
"149","认证"
"150","抵扣"
"151","2014"
